,Country.of.Origin,Country.of.OriginR,Region.Name,RegionR,Processing.Method,Processing.MethodR,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,altitude_mean_meters
0,Ethiopia,0,Africa,0,Washed / Wet,0,8.67,8.83,8.67,8.75,8.5,8.42,10.0,10.0,10.0,8.75,90.58,2075.0
1,Ethiopia,0,Africa,0,Washed / Wet,0,8.75,8.67,8.5,8.58,8.42,8.42,10.0,10.0,10.0,8.58,89.92,2075.0
3,Ethiopia,0,Africa,0,Natural / Dry,1,8.17,8.58,8.42,8.42,8.5,8.25,10.0,10.0,10.0,8.67,89.0,2000.0
4,Ethiopia,0,Africa,0,Washed / Wet,0,8.25,8.5,8.25,8.5,8.42,8.33,10.0,10.0,10.0,8.58,88.83,2075.0
9,Ethiopia,0,Africa,0,Natural / Dry,1,8.08,8.58,8.5,8.5,7.67,8.42,10.0,10.0,10.0,8.5,88.25,1822.5
10,Ethiopia,0,Africa,0,Natural / Dry,1,8.17,8.67,8.25,8.5,7.75,8.17,10.0,10.0,10.0,8.58,88.08,1905.0
11,Colombia,1,South America,3,Washed / Wet,0,8.25,8.42,8.17,8.33,8.08,8.17,10.0,10.0,10.0,8.5,87.92,1872.0
12,Colombia,1,South America,3,Washed / Wet,0,8.08,8.67,8.33,8.42,8.0,8.08,10.0,10.0,10.0,8.33,87.92,1943.0
15,Colombia,1,South America,3,Washed / Wet,0,8.0,8.5,8.58,8.17,8.17,8.0,10.0,10.0,10.0,8.17,87.58,2080.0
18,China,2,Asia,2,Washed / Wet,0,8.42,8.25,8.08,8.17,7.92,8.0,10.0,10.0,10.0,8.42,87.25,1450.0
19,Ethiopia,0,Africa,0,Natural / Dry,1,8.17,8.17,8.0,8.17,8.08,8.33,10.0,10.0,10.0,8.33,87.25,1850.0
20,Colombia,1,South America,3,Washed / Wet,0,8.0,8.25,8.08,8.5,8.25,8.0,10.0,10.0,10.0,8.17,87.25,2019.0
21,Costa Rica,3,Central America,1,Washed / Wet,0,8.08,8.25,8.0,8.17,8.0,8.33,10.0,10.0,10.0,8.33,87.17,1300.0
22,Mexico,4,Mexico,4,Washed / Wet,0,8.17,8.25,8.17,8.0,7.83,8.17,10.0,10.0,10.0,8.58,87.17,1320.0
23,Colombia,1,South America,3,Washed / Wet,0,8.25,8.33,8.17,8.17,7.83,8.17,10.0,10.0,10.0,8.17,87.08,2112.0
25,Brazil,5,South America,3,Natural / Dry,1,8.5,8.5,8.0,8.0,8.0,8.0,10.0,10.0,10.0,7.92,86.92,1250.0
27,Uganda,6,Africa,0,Washed / Wet,0,8.42,8.17,8.17,8.17,7.83,7.92,10.0,10.0,10.0,8.17,86.83,1950.0
29,Taiwan,7,Asia,2,Pulped natural / honey,2,8.0,8.0,8.0,8.25,8.0,8.17,10.0,10.0,10.0,8.17,86.58,1200.0
32,Brazil,5,South America,3,Natural / Dry,1,8.5,8.17,8.0,7.75,8.0,8.0,10.0,10.0,10.0,8.0,86.42,1300.0
33,Costa Rica,3,Central America,1,Washed / Wet,0,8.17,7.83,8.0,8.08,7.83,8.0,10.0,10.0,10.0,8.42,86.33,1300.0
34,Ethiopia,0,Africa,0,Natural / Dry,1,8.0,8.08,7.92,8.0,8.08,8.08,10.0,10.0,10.0,8.08,86.25,1775.0
35,Kenya,8,Africa,0,Washed / Wet,0,8.08,8.0,8.0,8.25,7.92,7.92,10.0,10.0,10.0,8.08,86.25,1800.0
39,Colombia,1,South America,3,Washed / Wet,0,7.67,8.17,8.0,8.0,8.17,8.08,10.0,10.0,10.0,8.08,86.17,1941.0
40,Thailand,9,Asia,2,Washed / Wet,0,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,8.42,86.17,1300.0
43,Taiwan,7,Asia,2,Semi-washed / Semi-pulped,3,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,8.42,86.08,1000.0
